population,alpha,beta,amplitude,period
10,1000.000000,10000.000000,0.0,-1.0
10,0.000010,0.010000,0.013976,769.750000
10,1.000000,10.000000,0.000113,124.666667
10,1.000000,100.000000,0.0,-1.0
200,10.000000,0.100000,0.045624,411.388235
200,0.000100,100.000000,0.0,-1.0
200,0.010000,10000.000000,0.0,-1.0
200,0.100000,1000.000000,0.0,-1.0
200,0.100000,0.000100,0.008230,304.181818
200,10000.000000,0.001000,0.008667,304.032086
200,0.001000,0.100000,0.026475,326.388060
200,0.010000,1000.000000,0.0,-1.0
200,0.010000,0.000010,0.007212,319.981651
200,10.000000,10.000000,0.0,-1.0
200,0.000100,10000.000000,0.0,-1.0
200,0.000010,1000.000000,0.0,-1.0
200,0.100000,1.000000,0.0,-1.0
200,0.000010,10000.000000,0.0,-1.0
200,0.001000,1.000000,0.256701,484.400000
200,1.000000,1000.000000,0.0,-1.0
200,0.100000,0.001000,0.040580,360.000000
200,100.000000,10.000000,0.0,-1.0
200,100.000000,0.001000,0.008525,294.903509
200,10.000000,0.001000,0.006277,285.950000
200,0.100000,10.000000,0.0,-1.0
200,1.000000,0.010000,0.010310,384.825806
200,10000.000000,0.010000,0.021289,345.739130
200,0.000010,0.001000,0.008501,351.586538
200,1.000000,10.000000,0.0,-1.0
200,0.010000,10.000000,0.0,-1.0
200,10.000000,0.000010,0.025230,334.581818
200,0.000010,1.000000,0.564313,585.333333
200,1000.000000,0.010000,0.013064,396.253333
200,0.000010,0.010000,0.010064,383.255474
200,1000.000000,1.000000,0.0,-1.0
200,10.000000,0.000100,0.005512,310.140351
200,0.001000,0.010000,0.014303,410.360000
200,0.000010,100.000000,0.0,-1.0
200,10000.000000,0.100000,0.089344,388.434783
200,100.000000,0.100000,0.0,-1.0
200,0.001000,1000.000000,0.0,-1.0
200,1000.000000,10000.000000,0.0,-1.0
200,0.000100,0.100000,0.062539,399.815789
200,10000.000000,1.000000,0.0,-1.0
200,10.000000,1000.000000,0.0,-1.0
200,1000.000000,0.000010,0.025406,363.814815
200,0.100000,100.000000,0.0,-1.0
200,1000.000000,0.001000,0.006015,331.023474
200,100.000000,0.010000,0.047372,401.107914
200,0.001000,0.000100,0.011450,318.074074
200,0.010000,1.000000,0.0,-1.0
200,1.000000,0.000100,0.006411,281.312775
200,1.000000,100.000000,0.0,-1.0
200,0.000010,0.000100,0.008646,328.349345
200,0.001000,100.000000,0.0,-1.0
200,100.000000,100.000000,0.0,-1.0
200,100.000000,0.000100,0.004868,266.051282
200,1000.000000,0.100000,0.096071,413.640449
200,1000.000000,0.000100,0.017094,288.853659
200,0.000100,0.000010,0.010618,334.146119
200,10000.000000,10000.000000,0.0,-1.0
200,100.000000,0.000010,0.011399,313.522124
200,0.100000,0.000010,0.008412,305.980769
200,0.000100,10.000000,0.0,-1.0
200,10000.000000,10.000000,0.0,-1.0
200,0.010000,100.000000,0.0,-1.0
200,1000.000000,10.000000,0.0,-1.0
200,0.000010,0.100000,0.128994,352.426667
200,0.001000,0.000010,0.005422,338.794521
200,0.010000,0.000100,0.005781,332.156682
200,0.000100,0.000100,0.005197,304.952830
200,0.100000,0.010000,0.014635,451.470199
200,1.000000,0.001000,0.011737,328.084112
200,0.100000,0.100000,0.105453,444.816901
200,10.000000,1.000000,0.0,-1.0
200,10000.000000,100.000000,0.0,-1.0
200,0.010000,0.100000,0.034257,521.361111
200,0.010000,0.001000,0.022283,337.669725
200,10.000000,0.010000,0.019431,419.620690
200,0.000010,10.000000,0.0,-1.0
200,10.000000,100.000000,0.0,-1.0
200,0.000100,0.001000,0.019543,285.782805
200,1.000000,1.000000,0.0,-1.0
200,0.001000,0.001000,0.006113,329.700935
200,0.100000,10000.000000,0.0,-1.0
200,0.000100,1.000000,0.0,-1.0
200,1000.000000,100.000000,0.0,-1.0
200,100.000000,1.000000,0.0,-1.0
200,100.000000,10000.000000,0.0,-1.0
200,1000.000000,1000.000000,0.0,-1.0
200,1.000000,0.100000,0.030689,407.436620
200,10000.000000,1000.000000,0.0,-1.0
200,10000.000000,0.000100,0.017747,287.321429
200,1.000000,0.000010,0.021492,292.823045
200,10000.000000,0.000010,0.005325,320.474138
200,1.000000,10000.000000,0.0,-1.0
200,0.001000,10000.000000,0.0,-1.0
200,0.000100,0.010000,0.014572,433.344828
200,0.010000,0.010000,0.015733,452.285714
200,0.001000,10.000000,0.0,-1.0
200,10.000000,10000.000000,0.0,-1.0
200,0.000010,0.000010,0.004679,277.253333
200,100.000000,1000.000000,0.0,-1.0
200,0.000100,1000.000000,0.0,-1.0
20,10.000000,0.100000,0.050801,584.888889
20,0.000100,100.000000,0.0,-1.0
20,0.010000,10000.000000,0.000000,69.000000
20,0.100000,1000.000000,0.0,-1.0
20,0.100000,0.000100,0.006132,273.032258
20,10000.000000,0.001000,0.027913,205.085714
20,0.001000,0.100000,0.063184,573.692308
20,0.010000,1000.000000,0.0,-1.0
20,0.010000,0.000010,0.008846,493.142857
20,10.000000,10.000000,0.0,-1.0
20,0.000100,10000.000000,0.0,-1.0
20,0.000010,1000.000000,0.0,-1.0
20,0.100000,1.000000,0.119310,69.000000
20,0.000010,10000.000000,0.0,-1.0
20,0.001000,1.000000,0.0,-1.0
20,1.000000,1000.000000,0.0,-1.0
20,0.100000,0.001000,0.011706,441.935484
20,100.000000,10.000000,0.0,-1.0
20,100.000000,0.001000,0.004133,448.258065
20,10.000000,0.001000,0.008612,344.378378
20,0.100000,10.000000,0.0,-1.0
20,1.000000,0.010000,0.011224,452.000000
20,10000.000000,0.010000,0.023400,250.972973
20,0.000010,0.001000,0.006037,348.235294
20,1.000000,10.000000,0.0,-1.0
20,0.010000,10.000000,0.007392,16.592593
20,10.000000,0.000010,0.016449,629.680000
20,0.000010,1.000000,0.011111,402.000000
20,1000.000000,0.010000,0.007806,466.222222
20,0.000010,0.010000,0.035918,312.206897
20,1000.000000,1.000000,0.0,-1.0
20,10.000000,0.000100,0.004701,360.923077
20,0.001000,0.010000,0.041533,296.750000
20,0.000010,100.000000,0.0,-1.0
20,10000.000000,0.100000,0.042750,412.444444
20,100.000000,0.100000,0.018474,471.272727
20,0.001000,1000.000000,0.0,-1.0
20,1000.000000,10000.000000,0.0,-1.0
20,0.000100,0.100000,0.215303,150.952381
20,10000.000000,1.000000,6.105014,810.000000
20,10.000000,1000.000000,0.0,-1.0
20,1000.000000,0.000010,0.004065,330.850000
20,0.100000,100.000000,0.0,-1.0
20,1000.000000,0.001000,0.005817,313.842105
20,100.000000,0.010000,0.012290,367.680000
20,0.001000,0.000100,0.006611,504.648649
20,0.010000,1.000000,1.108305,2566.000000
20,1.000000,0.000100,0.004628,146.136364
20,1.000000,100.000000,0.0,-1.0
20,0.000010,0.000100,0.005394,295.000000
20,0.001000,100.000000,0.0,-1.0
20,100.000000,100.000000,0.0,-1.0
20,100.000000,0.000100,0.008246,462.375000
20,1000.000000,0.100000,0.0,-1.0
20,1000.000000,0.000100,0.004874,250.473684
20,0.000100,0.000010,0.002497,383.405405
20,10000.000000,10000.000000,0.000014,391.777778
20,100.000000,0.000010,0.005616,480.736842
20,0.100000,0.000010,0.021228,409.612903
20,0.000100,10.000000,0.0,-1.0
20,10000.000000,10.000000,0.0,-1.0
20,0.010000,100.000000,0.0,-1.0
20,1000.000000,10.000000,0.0,-1.0
20,0.000010,0.100000,0.029542,436.666667
20,0.001000,0.000010,0.007820,372.600000
20,0.010000,0.000100,0.006381,297.209302
20,0.000100,0.000100,0.007569,412.941176
20,0.100000,0.010000,0.011939,404.200000
20,1.000000,0.001000,0.007064,445.840000
20,0.100000,0.100000,0.132988,388.133333
20,10.000000,1.000000,0.469348,273.000000
20,10000.000000,100.000000,0.0,-1.0
20,0.010000,0.100000,0.168624,806.285714
20,0.010000,0.001000,0.011340,319.000000
20,10.000000,0.010000,0.009034,425.000000
20,0.000010,10.000000,1.709295,627.454545
20,10.000000,100.000000,0.0,-1.0
20,0.000100,0.001000,0.006134,356.228571
20,1.000000,1.000000,0.022838,699.200000
20,0.001000,0.001000,0.007069,326.292683
20,0.100000,10000.000000,0.0,-1.0
20,1000.000000,100.000000,0.0,-1.0
20,100.000000,1.000000,4.523470,4456.000000
20,100.000000,10000.000000,0.000000,19.846154
